method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,detector,threshold,false_new_per_100_frames,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack,notes,sequence_id
confidence_threshold_0.1,12242,8617,10855,0.5868929478882018,0.5300255444430012,0.557011557011557,0.557011557011557,1638,353.01724137931035,862,yolov8s,0.1,353.01724137931035,0.10302451956588843,-5200.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.1,6993,7552,10286,0.4807837744929529,0.40471092077087795,0.43947963800904977,0.43947963800904977,1909,546.9914040114613,701,yolov8s,0.1,546.9914040114613,-0.014507399436618829,-4929.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.1,12856,6584,11232,0.6613168724279835,0.5337097309863833,0.5907002389266679,0.5907002389266679,2113,906.8669527896996,1109,yolov8s,0.1,906.8669527896996,0.1367132014809993,-4725.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.1,6163,10298,11508,0.3744000971994411,0.3487635108369645,0.36112738778858544,0.36112738778858544,2967,817.3553719008264,619,yolov8s,0.1,817.3553719008264,-0.09285964965708315,-3871.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.1,2453,4639,11125,0.34588268471517203,0.1806598910001473,0.2373488147073053,0.2373488147073053,716,73.21063394683026,56,yolov8s,0.1,73.21063394683026,-0.2166382227383633,-6122.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.1,902,4429,5489,0.16919902457325078,0.14113597246127366,0.15389865210714893,0.15389865210714893,860,467.39130434782606,130,yolov8s,0.1,467.39130434782606,-0.30008838533851967,-5978.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.1,5404,4952,6624,0.5218230977211279,0.44928500166278684,0.48284488920657614,0.48284488920657614,1479,537.8181818181818,399,yolov8s,0.1,537.8181818181818,0.02885785176090755,-5359.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.2,10156,3423,12941,0.7479195817070476,0.4397107849504265,0.5538226633220634,0.5538226633220634,634,136.63793103448276,605,yolov8s,0.2,136.63793103448276,0.09983562587639483,-6204.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.2,5448,2763,11831,0.6635001826817684,0.3152960240754673,0.42746174970576695,0.42746174970576695,683,195.70200573065904,597,yolov8s,0.2,195.70200573065904,-0.02652528773990165,-6155.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.2,9945,2275,14143,0.8138297872340425,0.4128611756891398,0.5478131541258124,0.5478131541258124,785,336.90987124463516,947,yolov8s,0.2,336.90987124463516,0.09382611668014385,-6053.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.2,4487,4216,13184,0.5155693439044008,0.25391885009337334,0.3402593463259271,0.3402593463259271,1156,318.4573002754821,466,yolov8s,0.2,318.4573002754821,-0.11372769111974151,-5682.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
