dataset,evaluation_mode,num_agents,num_scenes,num_frames,scenario,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,requires_training,uses_temporal_memory,uses_inter_agent_consistency,runtime_ms_per_frame,method,seed,agent_count,false_new_per_100_frames,map_extra_entries,extra_messages_due_to_false_tracks,notes
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,naive_union,32135,4165,5640,0.8852617079889807,0.8506949040370615,0.8676341545730678,0.8676341545730678,4016,669.3333333333334,4005,False,False,True,2.7179821700369647e-05,naive_union,11,3,669.3333333333334,4016,8032,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,iou_fusion_only,29798,316,7977,0.9895065418077971,0.7888285903375248,0.8778447171117559,0.8778447171117559,306,51.0,4501,False,False,True,2.7179821700369647e-05,iou_fusion_only,11,3,51.0,306,612,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,mean_confidence_fusion,29813,341,7962,0.9886913842276315,0.7892256783587028,0.8777694357343697,0.8777694357343697,330,55.00000000000001,4486,False,False,True,2.7179821700369647e-05,mean_confidence_fusion,11,3,55.00000000000001,330,660,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,max_confidence_fusion,29829,353,7946,0.9883042873235703,0.7896492389146261,0.8778786585635034,0.8778786585635034,342,56.99999999999999,4488,False,False,True,2.7179821700369647e-05,max_confidence_fusion,11,3,56.99999999999999,342,684,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,bayesian_existence_filter,32035,149,5740,0.9953703703703703,0.8480476505625414,0.9158221243871411,0.9158221243871411,99,16.5,3965,False,True,True,2.7179821700369647e-05,bayesian_existence_filter,11,3,16.5,99,198,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,S2_tnorm_temporal,32117,587,5658,0.9820511252446184,0.8502183984116479,0.9113920458576313,0.9113920458576313,562,93.66666666666667,3981,False,True,True,2.9897803870406613e-05,S2_tnorm_temporal,11,3,93.66666666666667,562,1124,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,S2_v9_selected,30483,125,7292,0.9959161003659174,0.8069622766379881,0.8915373703990758,0.8915373703990758,122,20.333333333333332,4521,False,False,True,2.7179821700369647e-05,S2_v9_selected,11,3,20.333333333333332,122,244,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,naive_union,32134,4167,5641,0.8852097738354315,0.8506684315023163,0.8675954425184945,0.8675954425184945,4018,669.6666666666666,4004,False,False,True,2.7179821700369647e-05,naive_union,22,3,669.6666666666666,4018,8036,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,iou_fusion_only,29797,316,7978,0.9895061933384253,0.7888021178027796,0.877828187603111,0.877828187603111,306,51.0,4500,False,False,True,2.7179821700369647e-05,iou_fusion_only,22,3,51.0,306,612,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,mean_confidence_fusion,29811,341,7964,0.9886906341204563,0.7891727332892124,0.8777363934812372,0.8777363934812372,330,55.00000000000001,4488,False,False,True,2.7179821700369647e-05,mean_confidence_fusion,22,3,55.00000000000001,330,660,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,max_confidence_fusion,29829,353,7946,0.9883042873235703,0.7896492389146261,0.8778786585635034,0.8778786585635034,342,56.99999999999999,4488,False,False,True,2.7179821700369647e-05,max_confidence_fusion,22,3,56.99999999999999,342,684,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
